job_title,location,company,salary,rating,summary
Data Engineer,"San Francisco, CA",ZILLIZ,"$100,000 - $120,000 a year",,"Zilliz data engineers are experts in data science echo system, will promote Zilliz Solutions including AI-data search engine Milvus, cloud platform and AI…"
Data Engineer,,TEKsystems,$75 an hour,3.9,"Designed, developed, and implemented data infrastructure, data pipelines and data processing code for product features. Hive/spark/snowflake/sql development."
Audio Engineer - Big Data,"San Francisco Bay Area, CA","Zoom Video Communications, Inc.",,3.8,Assist developers to track and analyze customer issues with data analysis. Proactively detect potential issues through big data analysis and work with engineers…
"Data Engineer, Consultant","Oakland, CA",Blue Shield of California,,3.6,"This position requires strong collaboration with solution leads, data modelers, analysts, business partners and other developers to understand business…"
Data Analyst (mid-level),"Foster City, CA 94404",QuinStreet,,2.7,Proven track record of breaking down high-level business problems into analytical solutions. Good communication skills: experience presenting and communicating…
Data Engineer,"Walnut Creek, CA 94597",Next Level Services,$49 - $60 an hour,,"Aggregating key metrics for business partners to inform key decisions. Strong skills in SQL, Java, and/or Python. Job Types: Full-time, Contract."
Sukuk Research Analyst,"San Francisco, CA 94105 (Financial District area)","Ideal Ratings, Inc.",,,"Bachelor’s degree in Business, Finance, Economics, Accounting or any similar discipline. Supports index team in certain tasks including but not limited to:…"
Data Scientist,"Brisbane, CA 94005",Second Genome,,4.5,"Design, implement and execute small to large data science projects in collaboration with other Second Genome program, project, and function leads for data…"
Business Intelligence Analyst,"Redwood City, CA 94063 (Downtown area)",BlueVine,,,"Compare reporting outputs to source data, identify data quality issues and resolve. Experience with Redshift or PostGreSQL. MS in a related field."
Research Analyst - Corporate Credit (2-3 years) – San Mateo,"San Mateo, CA 94403 (Bay Meadows area)",Franklin Templeton Investments,,4.0,Compile data from multiple sources to develop detailed financial models. Conduct independent research by speaking with company management and industry contacts.
Data Scientist,"San Mateo, CA",OneSignal,,,Assist in architecting and designing a scalable data warehouse that can be connected to a business intelligence tool.
Integration and Business Intelligence Developer,"Oakland, CA",XL Construction,,4.3,"You will also work with business analysts to monitor, identify, troubleshoot, and correct issues or gaps that occur during data movement and processing,…"
